,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,main_stem_length_in_cm
1020,0.94,9,11.7,0.3,77.0
63,0.38,0,0.0,0.04,66.0
285,0.51,7,17.9,0.22000000000000003,39.0
261,0.46,18,35.0,0.18,51.5
1003,0.43,18,45.0,0.22999999999999998,40.0
249,0.26,4,15.4,0.13,26.0
150,0.66,0,0.0,0.06,107.0
21,0.45,10,23.8,0.11000000000000001,42.0
1023,0.5,4,9.1,0.33999999999999997,44.0
205,0.62,9,15.7,0.11000000000000001,57.5
49,0.41,21,58.3,0.2,36.0
197,0.32,0,0.0,0.08,57.0
