,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
209,0.67,11,26.5,0.17,45.5,41.5
148,0.22,0,0.0,0.03,45.5,36.0
739,0.47,0,0.0,0.15,45.5,73.0
594,0.25,0,0.0,0.15,45.5,14.0
123,0.29,3,7.5,0.07,45.5,40.0
734,0.7,0,0.0,0.15,124.0,92.0
931,0.51,9,10.7,0.15,45.5,84.0
574,0.39,0,0.0,0.15,33.0,46.0
98,0.41,0,0.0,0.17,45.5,60.0
377,0.23,0,0.0,0.15,45.5,8.5
130,0.38,0,0.0,0.06,45.5,54.0
699,0.38,1,2.3,0.15,46.0,43.0
23,0.43,21,67.7,0.16,45.5,31.0
946,0.85,2,2.2,0.15,45.5,93.0
555,0.77,0,0.0,0.15,53.0,70.0
370,0.3,0,0.0,0.15,45.5,20.0
906,0.79,62,58.5,0.15,45.5,106.0
512,0.34,0,0.0,0.15,45.5,41.0
383,0.24,0,0.0,0.15,45.5,11.0
201,0.76,16,25.8,0.27,45.5,62.0
917,0.42,4,10.5,0.15,45.5,38.0
368,0.32,0,0.0,0.15,45.5,15.5
554,0.65,0,0.0,0.15,17.0,66.0
610,0.53,0,0.0,0.15,32.0,44.0
387,0.2,0,0.0,0.15,45.5,11.0
861,0.65,3,2.7,0.15,45.5,111.0
816,0.6,6,7.4,0.15,45.5,81.0
930,0.5,13,27.1,0.15,45.5,48.0
292,0.59,8,20.5,0.21,45.5,39.0
690,0.63,0,0.0,0.15,45.5,81.0
881,0.63,8,15.1,0.15,45.5,53.0
256,0.64,27,50.0,0.17,45.5,54.0
606,0.65,0,0.0,0.15,45.5,66.0
197,0.32,0,0.0,0.08,45.5,57.0
95,0.63,0,0.0,0.17,45.5,69.0
1044,0.87,20,16.1,0.18,45.5,124.0
1029,0.5,11,27.5,0.39,45.5,40.0
169,0.56,1,1.0,0.07,45.5,100.0
581,0.21,0,0.0,0.15,45.5,32.0
305,0.35,0,0.0,0.15,45.5,25.0
560,0.39,0,0.0,0.15,45.5,31.0
853,0.66,1,1.5,0.15,45.5,66.0
373,0.31,0,0.0,0.15,45.5,23.5
909,0.53,38,122.6,0.15,45.5,31.0
719,0.56,0,0.0,0.15,45.5,96.0
791,0.61,0,0.0,0.15,45.5,68.0
