,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,tip_of_stem_broken,infested
63,66.0,0.38,0.04,0,0
823,62.0,0.68,0.18,0,1
360,11.5,0.23,0.18,0,0
237,29.0,0.37,0.13,0,1
112,51.0,0.33,0.09,0,0
1036,53.0,0.38,0.23,1,1
532,43.0,0.48,0.18,1,0
577,38.0,0.33,0.18,1,0
126,47.0,0.41,0.07,1,1
259,29.0,0.35,0.11,0,1
805,87.0,0.75,0.18,0,0
781,40.0,0.37,0.18,0,1
137,71.0,0.62,0.11,1,0
725,90.0,0.45,0.18,0,0
7,46.0,0.68,0.15,1,1
502,64.0,0.76,0.18,1,0
631,63.0,0.47,0.18,1,0
905,48.0,0.44,0.18,0,1
760,26.0,0.5,0.18,0,1
926,30.0,0.11,0.18,0,1
407,12.0,0.16,0.18,0,0
750,75.0,0.66,0.18,0,0
353,14.0,0.18,0.18,0,0
153,86.0,0.63,0.15,1,0
566,57.0,0.67,0.18,1,0
542,25.0,0.33,0.18,1,0
343,16.5,0.21,0.18,0,0
967,63.0,1.08,0.58,1,1
612,43.0,0.4,0.18,1,0
1065,96.0,0.71,0.18,0,1
899,77.0,0.82,0.18,0,1
56,103.0,0.53,0.02,0,0
400,8.0,0.26,0.18,0,0
572,34.0,0.3,0.18,1,0
473,27.0,0.26,0.18,1,1
468,34.0,0.54,0.18,1,0
708,65.0,0.28,0.18,0,0
827,56.0,0.44,0.18,0,1
504,61.0,0.56,0.18,1,0
1043,50.0,0.46,0.34,1,0
706,70.0,0.6,0.18,0,0
648,39.0,0.3,0.18,1,0
1019,100.0,0.77,0.18,0,1
300,20.0,0.21,0.18,0,0
731,59.0,0.34,0.18,0,0
722,83.0,0.61,0.18,0,0
570,35.0,0.34,0.18,1,0
163,72.0,0.57,0.12,1,1
636,40.0,0.41,0.18,1,0
336,20.5,0.29,0.18,0,0
59,85.0,0.73,0.05,0,0
895,58.0,0.38,0.18,0,1
1021,38.0,0.52,0.18,0,1
490,18.0,0.36,0.18,1,0
855,56.0,0.46,0.18,0,0
449,46.0,0.55,0.18,1,0
762,59.0,0.45,0.18,0,1
437,40.0,0.28,0.18,1,0
670,56.0,0.38,0.18,0,0
563,49.0,0.43,0.18,1,0
842,64.0,0.7,0.18,0,1
970,86.0,0.94,0.16,1,1
219,51.0,0.58,0.29,1,1
837,60.0,0.58,0.18,0,1
586,41.0,0.44,0.18,1,0
282,34.0,0.69,0.13,0,1
348,6.0,0.2,0.18,0,0
744,93.0,0.58,0.18,0,0
4,45.0,0.65,0.3,1,1
893,43.0,0.67,0.18,0,1
463,28.0,0.38,0.18,1,0
871,26.0,0.44,0.18,0,1
1032,46.0,0.7,0.41,1,1
959,89.0,0.65,0.18,1,0
517,22.0,0.29,0.18,1,0
653,43.0,0.24,0.18,1,0
573,38.0,0.41,0.18,1,0
647,52.0,0.42,0.18,1,0
953,86.0,0.71,0.18,1,1
975,111.0,0.84,0.18,0,0
534,47.0,0.53,0.18,1,0
987,46.0,0.52,0.34,1,1
276,33.0,0.61,0.26,1,1
284,43.0,0.47,0.14,0,1
470,45.0,0.41,0.18,1,0
426,78.0,0.44,0.18,1,0
281,28.0,0.41,0.09,0,1
120,43.0,0.31,0.07,1,1
593,36.0,0.31,0.18,1,0
1057,41.0,0.6,0.53,1,1
13,31.0,0.48,0.28,1,1
712,40.0,0.43,0.18,0,1
455,52.0,0.61,0.18,1,0
584,60.0,0.46,0.18,1,0
147,37.0,0.38,0.14,1,1
160,76.0,0.63,0.1,1,0
1054,37.0,0.55,0.43,1,1
933,48.0,0.63,0.18,0,1
986,32.0,0.45,0.27,1,1
807,76.0,0.47,0.18,0,0
195,53.0,0.5,0.18,1,1
191,64.0,0.38,0.13,1,1
628,31.0,0.41,0.18,1,0
536,41.0,0.48,0.18,1,0
960,104.0,0.63,0.18,1,0
164,73.0,0.53,0.12,1,1
106,38.0,0.33,0.06,0,1
16,36.0,0.66,0.22,1,1
575,69.0,0.5,0.18,1,0
1013,46.0,0.78,0.53,1,1
1040,62.0,0.69,0.33,1,1
540,47.0,0.53,0.18,1,0
329,10.0,0.24,0.18,0,0
480,13.0,0.23,0.18,1,0
498,32.0,0.52,0.18,1,0
947,111.0,0.75,0.18,0,1
405,13.0,0.24,0.18,0,0
971,107.0,0.7,0.18,0,1
93,73.0,0.54,0.11,1,0
433,59.0,0.84,0.18,1,0
83,85.0,0.56,0.08,0,0
918,87.0,0.7,0.18,0,1
978,64.0,0.7,0.32,1,1
710,47.0,0.43,0.18,0,0
657,24.0,0.38,0.18,1,0
414,2.0,0.19,0.18,0,0
662,16.0,0.53,0.18,1,0
1055,49.0,0.61,0.47,1,1
