,stem_diam_bottom_in_cm,diam_top_in_cm,side_branches_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
332,0.24,0.18,60.23,0,0,0,0,30.0
64,0.45,0.06,60.23,4,0,1,1,76.0
866,0.47,0.18,60.23,39,0,1,9,47.0
52,0.93,0.29,60.23,0,1,0,0,87.0
363,0.28,0.18,60.23,0,0,0,0,14.5
945,1.12,0.18,60.23,2,1,1,1,88.0
124,0.42,0.08,60.23,4,0,1,4,72.0
707,0.59,0.18,60.23,0,0,0,0,51.0
477,0.49,0.18,60.23,0,1,0,0,32.0
669,0.65,0.18,60.23,0,0,0,0,77.0
288,0.54,0.16,60.23,17,0,1,13,38.0
794,0.77,0.18,60.23,0,0,0,0,57.0
302,0.29,0.18,60.23,0,0,0,0,19.5
118,0.31,0.13,60.23,0,1,0,0,45.0
12,0.85,0.38,60.23,28,1,1,28,49.0
157,0.33,0.03,60.23,0,0,0,0,46.0
337,0.15,0.18,60.23,0,0,0,0,11.0
127,0.5,0.06,60.23,7,0,1,7,57.0
46,0.81,0.18,60.23,14,1,1,9,44.0
235,0.45,0.1,60.23,13,0,1,13,38.5
585,0.48,0.18,60.23,0,1,0,0,49.0
241,0.52,0.27,60.23,11,1,1,10,32.0
638,0.74,0.18,222.0,0,1,0,0,30.0
402,0.22,0.18,60.23,0,0,0,0,10.5
759,0.7,0.18,60.23,9,0,1,0,60.0
416,0.24,0.18,60.23,0,0,0,0,5.0
177,0.5,0.14,60.23,6,1,1,6,69.0
923,0.37,0.18,60.23,1,0,1,0,34.0
721,0.63,0.18,60.23,0,0,0,0,100.0
325,0.21,0.18,60.23,0,0,0,0,15.0
982,0.52,0.18,60.23,37,0,1,8,67.0
1052,0.65,0.54,60.23,0,1,0,0,54.0
350,0.18,0.18,60.23,0,0,0,0,6.5
422,0.67,0.18,60.23,0,1,0,0,56.0
17,0.69,0.28,60.23,53,1,1,53,41.0
1014,0.58,0.32,60.23,8,1,1,1,49.0
186,0.49,0.11,60.23,0,0,0,0,54.0
700,0.71,0.18,43.0,0,0,0,0,98.0
338,0.21,0.18,60.23,0,0,0,0,11.0
206,0.33,0.12,60.23,8,0,1,8,30.0
501,0.3,0.18,60.23,0,1,0,0,27.0
952,0.51,0.18,60.23,5,0,1,0,106.0
345,0.3,0.18,60.23,0,0,0,0,13.5
313,0.28,0.18,60.23,0,0,0,0,17.0
242,0.33,0.18,60.23,12,1,1,12,29.0
500,0.88,0.18,23.0,0,1,0,0,68.0
170,0.64,0.09,60.23,0,0,0,0,93.0
187,0.49,0.1,60.23,2,1,1,2,68.0
984,0.69,0.18,60.23,1,0,1,0,102.0
133,0.74,0.19,60.23,1,1,1,0,35.0
301,0.26,0.18,60.23,0,0,0,0,21.0
792,0.59,0.18,60.23,2,0,1,0,76.0
587,0.56,0.18,47.0,0,1,0,0,67.0
318,0.27,0.18,60.23,0,0,0,0,20.5
78,0.41,0.05,60.23,0,0,0,0,89.0
844,0.47,0.18,60.23,15,0,1,0,45.0
640,0.44,0.18,68.0,0,1,0,0,65.0
