,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
492,2,0.18,0.4,1,34.0
379,0,0.18,0.24,0,9.5
815,1,0.18,0.49,0,65.0
966,8,0.18,0.62,0,87.0
92,0,0.06,0.27,0,48.0
748,0,0.18,0.56,0,99.0
479,0,0.18,0.29,1,22.0
968,8,0.18,0.42,0,61.0
934,33,0.18,0.44,0,73.0
390,0,0.18,0.17,0,8.5
626,0,0.18,0.31,1,42.0
70,0,0.05,0.32,0,75.0
491,6,0.18,0.77,1,54.0
211,35,0.24,0.52,1,45.0
171,4,0.08,0.42,0,62.0
165,1,0.05,0.28,1,49.0
238,23,0.25,0.61,1,49.0
188,1,0.12,0.53,0,67.0
874,8,0.18,0.56,0,33.0
686,0,0.18,0.7,0,91.0
676,0,0.18,0.48,0,49.0
344,0,0.18,0.22,0,12.0
588,0,0.18,0.36,1,36.0
963,0,0.21,0.79,1,80.0
1007,0,0.4,0.8,1,52.0
703,0,0.18,0.38,0,72.0
904,60,0.18,0.94,0,87.0
155,0,0.05,0.68,0,92.0
824,5,0.18,0.56,0,72.0
620,0,0.18,0.82,1,32.0
818,9,0.18,0.65,0,75.0
125,10,0.07,0.33,0,34.0
993,0,0.25,0.93,1,98.0
456,0,0.18,0.76,1,50.0
66,0,0.16,0.38,1,61.0
665,0,0.18,0.62,0,114.0
233,12,0.2,0.82,1,39.0
224,20,0.15,0.64,0,48.0
268,5,0.24,0.56,1,47.0
161,9,0.05,0.38,0,78.0
521,0,0.18,0.92,1,67.0
944,6,0.18,0.74,1,77.0
733,0,0.18,0.36,0,69.0
672,0,0.18,0.62,0,55.0
178,7,0.04,0.39,0,64.0
1041,1,0.17,0.75,1,67.0
415,0,0.18,0.21,0,13.0
100,1,0.09,0.43,0,88.0
680,0,0.18,0.63,0,91.0
678,0,0.18,0.72,0,77.0
334,0,0.18,0.16,0,11.5
761,0,0.18,0.54,0,53.0
220,26,0.16,0.45,1,43.0
391,0,0.18,0.18,0,8.0
309,0,0.18,0.2,0,15.5
